GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ch13-continuous,es.ull.passengers,Passenger,15,74,4,6,3,20,4,9,0,8
ch13-continuous,es.ull.flights,Flight,5,66,1,3,1,16,1,7,0,6
